Timestamp,Branch,Programming_Skills,Problem_Solving,Selective attention&Perception& Decision making,Memory& Sustained attention& Perception,Long-term memory&Thinking speed &Concentration,Auditory processing&Processing speed&Perception,Conscientiousness&Perseverance&Teamwork.,Perseverance&Teamwork&Grit.,Decisionmaking_Teamwork_Grit,Teamwork_Grit_Conscientiousness,Job_Interviews,Interview_Mode,Challenges_Lockdown,Unempolyment_Opinion,Improvement,Self_Improve,Additional_Course,Placement
5/27/2021 17:50:31,Electrical ,30,40,0,1,0,0,1,0,0,0,2,Google meet,3,"Providing skill practical knowledge to people
",,"Doing classes , learning various think",Yes,Low
5/27/2021 17:59:19,Electrical ,,10,1,0,0,0,1,0,0,0,2,Zoom meeting ,I faced lectures problem because problematic equestions are not understand,"We can study for competitive exam ad TCS,ADANI ,MSEB",,"We can improve skill by reading more books,and prctical on youtube ",Yes,Low
5/27/2021 19:54:50,Electrical ,60,70,0,0,1,0,0,1,0,0,0,Phone call,"-Lack of opportunities 
-Lack of development ( as all courses/clg move to online mode)",#NAME?,,#NAME?,Yes,High
5/27/2021 20:20:13,Electrical ,60,75,0,0,0,1,0,0,0,1,1,No,"Job recreation, No opportunities, Not able to attend the classes.",Empower industries and make regional rules,,"Analytical, educative, creativeness",Yes,High
5/27/2021 20:22:28,Electrical ,30,20,0,0,1,0,0,0,1,0,0,Zoom meeting,Many challenge ,No,,Online study,Maybe,Low
5/27/2021 20:29:19,Information Technology,34,85,0,0,1,0,1,0,0,0,2,Google meet,network issue and light issue,we have to improve skill and recruiter should focused on freshers also to grow and give time for making India better.,,"practice, concentration, self study",Yes,Low
5/27/2021 21:04:05,Electrical,63,80,0,0,1,0,0,0,1,0,1,Zoom meeting ,-,-,,Self Active,Maybe,High
5/27/2021 23:38:51,Electrical,10,50,1,0,0,0,0,0,1,0,0,No,Network issues while online learning and in exam also,"Various studies (Classes - Python, java , c++, etc) should have in every cities and villages also.....that can help students to get job in thier desired places. ",,Spoken English must necessary for me,No,Low
5/27/2021 23:40:22,Electrical,80,80,1,0,0,0,0,1,0,0,2,Zoom meeting ,Na,NA,,"analytical skills.
innovative and creative thinking.
a lateral mindset.
adaptability and flexibility.
level-headedness.
initiative.",Maybe,High
5/28/2021 0:05:28,Computer,80,95,1,0,0,0,0,0,1,0,0,Google meet,Nothing as such,Yeah we can help people thorugh social media networks ,,Learning and certification ,Yes,High
5/28/2021 7:36:41,Civil,20,40,1,0,0,0,1,0,0,0,3,Zoom meeting ,Mental frustrated ,Still there is much scope for earning money in this pandemic situation. Just people need to stay focused and persistent. As we know there is much unemployment also there are many businesses are stoped due to less manpower. So one should stick to any job in his field for this lockdown and as soon as situation comes on path he may switch to his interest field. By this people get some money in his hand and also businesses continues to run.,,"Firt of all i will suggest communication skill. By reading many books one can build confidence and also communication skill. Also learning about new things. Such as personal finance, share market.",Maybe,Low
5/28/2021 18:26:09,Electrical,20,85,1,0,0,0,0,1,0,0,1,Zoom meeting,Lack of job opportunity in electrical field,Production technique should suit the needs and means of the country. It is essential that labour intensive technology should be encouraged in place of capital intensive technology,,View challenge as a great opportunity to learn.,Yes,Low
5/28/2021 18:48:13,Electrical,70,100,0,0,1,0,0,1,0,0,1,Google meet,Mobile data while attending lectures,No,,Hard work +soft skills,Yes,High
5/28/2021 19:09:08,Mechanical ,70,40,0,1,0,0,0,0,0,0,2,No,Less deserving vaccancy,Increase employment in proper way,,"Spoken English, technical knowledge",Maybe,Low
5/28/2021 23:14:34,Electrical,NA,10,1,0,0,0,0,0,0,1,0,Zoom meeting ,Unable to manage my timing to learn new language for improving my communication,"Now a days everyone want job with good salary, we have to change this mindset. We have to start working with small scale company, which gives us experience. And experience gives us proper pay scale. And of don't want to start with small amount pay scale then you have to improve your technical knowledge and certifications in that particular field. So lets start now.",Industry want productive people. So we to run this internship program to increase skills in employees. Make them aware about industry requirement. And work accordingly.,By giving daily one hour to improve my vocabulary and communication skills.,Maybe,Low
5/29/2021 13:15:32,Mechanical ,69,80,1,0,0,0,0,0,1,0,1,Zoom meeting ,Z,Yes. I have decided to leave the country. Vishay end,Promote research and entrepreneurship. ,Self learning,Maybe,High
5/29/2021 13:58:49,Computer ,50,0,0,1,0,0,0,0,0,1,2,Google meet,"Lack of Internet, lack of learning, understanding",I will suggest that government or private sector provides job employability to every person on their education also they need to  provide some training to uneducated person which are in the rural region through they can join any company.,I will suggest that government or private sector provides job employability to every person on their education also they need to  provide some training to uneducated person which are in the rural region through they can join any company.,I think this is the best chance to every student to learn new things & i'll focusing on career by doing various courses on full stack development,Yes,Low
5/29/2021 14:24:27,Electrical,90,100,0,0,1,0,0,0,0,0,1,Zoom meeting,None,Follow the path of continuous learning and improvements.,Survey next 50 year scope and accordingly select your career goal.,Online courses,Maybe,High
5/29/2021 15:18:06,Computer,80,70,1,0,0,0,1,0,0,0,2,Zoom meeting,Less opportunities,Keep trying,Avail frequent opportunities,Learn more,Yes,High
5/29/2021 15:32:27,Information Technology,50,70,0,0,1,0,1,0,0,0,1,No,There are so many technical resources available on internet but confused about which domain is better for me.,Candidates should not be rejected based on Marks criteria. Because there are so many candidates who are good at technical skills but they are not allowed to give even exam of recruitment as their aggregate marks are less.,..,I am exploring various domains and trying to get basic knowledge of every domain.,Maybe,Low
5/29/2021 15:46:48,E&TC,75,60,1,0,0,0,1,0,0,0,0,Phone call,I lost my job ,Create opportunities basis on skills not only on college marks ,Many MNC company providing jobs for graduates only they don't give any opportunity for diploma holders if they think about skills then  i think most people have ability to complete complex task,"Online course, freelancing",Maybe,High
5/30/2021 10:15:08,Electrical,90,99,1,0,0,0,0,1,0,0,2,Zoom meeting,Boredom,Skill set need to involved in curriculum and industry oriented learning,"Skilling, moving from agri to service, regulations in education system,",Internships,Maybe,High
5/30/2021 11:51:19,Electrical,NA,30,0,1,0,0,0,0,0,0,0,Phone call,No any problem,Self dependant ,Self dependant,Attain every task and solve it. If you have lack of any skill it helps to learn new things. ,Yes,Low
5/30/2021 12:19:56,Electrical,70,90,0,0,0,1,0,0,0,1,2,No,Depression ,You have to provide work from ,Select the person according to there talent ,I'm reading books ,Yes,High
5/30/2021 20:12:09,Electrical,40,70,1,0,0,0,0,0,1,0,1,Zoom meeting,5,No,No,By practice ,Yes,Low
5/30/2021 20:55:37,Electrical,60,80,1,0,0,0,0,0,0,0,0,Phone call,Financial issues,"Yes, Give everyone an equal chance to prove there self because there are some people who really wants to there work sincerely and passionately ",Give every one us equal chance,I'm going to learn,Yes,High
5/30/2021 21:00:01,Computer,65,25,0,0,1,0,1,0,0,0,0,Google meet,Many problems are faced not only mi but also my family our economic condition is very taightly,No comments,No comments,To continue efforts,Yes,Low
5/30/2021 21:04:02,Electrical,65,70,0,1,0,0,0,0,1,0,1,No,Lack of money,Need more recruitment,No,By Doing online course,Maybe,High
5/30/2021 21:08:17,Computer,67,20,0,0,1,0,1,0,0,0,0,No,The facing the problem net work problem ,The  people  I Wii suggestions give to the employee,The employees of the problem and gearbox protection,I Wii improved my skills love to learning and tell to the people,Yes,Low
5/30/2021 21:20:34,Computer,85,90,0,0,0,1,1,0,0,0,1,No,Main problem faced by people is lack of savings,No,No,By practicing it more,Yes,High
5/30/2021 21:29:28,Civil,NA,80,1,0,0,0,1,0,0,0,0,No,"Poor internet connections, lack of opportunities ",We should work of more job options depending upon skills and cognitive abilities rather than only marks and should improve working environment ,Not particularly ,By working on areas in which I'm weak,Maybe,Low
5/30/2021 21:33:55,Electrical ,70,60,0,0,1,0,0,0,0,0,1,No,Loss of employment,No suggestions,No suggestions,By self study and making mistake,No,High
5/30/2021 21:35:22,Civil,20,40,1,0,0,0,1,0,0,0,1,No,Online interview,Control no of  engineering colleges,No,Yes,No,Low
5/30/2021 21:41:57,Mechanical ,50,85,0,0,1,0,1,0,0,0,1,Zoom meeting,Many,"Level up the education, lack of practical knowledge in students","Level up the education, lack of practical knowledge in students",I have plan for myself ,Maybe,Low
5/30/2021 21:44:19,Civil ,NA,30,0,0,1,0,1,0,0,0,0,No,Searching job ,Industrial development ,Industrial development ,"Reading,  understanding ",Maybe,Low
5/30/2021 21:49:34,Electrical,65,20,0,0,1,0,1,0,0,0,1,Zoom meeting,Un,Y,Y,Doing hard work,Maybe,Low
5/30/2021 21:58:17,Civil ,20,70,0,0,1,0,0,1,0,0,2,Google meet,Yes,Yes ,Yes,English,Yes,Low
5/30/2021 22:35:37,Electrical ,60,80,0,0,1,0,1,0,0,0,1,No,Flustered ,One should be practical than theoretical,Try to learn what actually industry wants,By taking additional knowledge in my field,Maybe,High
5/31/2021 7:39:53,Electrical,60,90,0,0,1,0,1,0,0,0,0,No,"Stay home stay safe only, this challenge  faced durring the lockdown",The first main problem in India are politics.chose correct and helping politicians and stop the scams,"Don't give importance to marks, give importance to his art",Experience,Maybe,High
5/31/2021 8:13:52,Mechanical ,70,20,1,0,0,0,0,0,1,0,0,Google meet,I am concertante my work nd  and I am definately do this.,No,No,Yes,Yes,Low
5/31/2021 8:42:42,Computer science ,75,50,0,0,1,0,0,0,0,1,1,Zoom meeting,Sometimes  can't attend  lecture  due to job shifts,Work from home is best option,By giving  on the basis of there skill not on there education  certificate ,By learning  ,Yes,High
5/31/2021 9:47:01,Electrical ,40,60,0,1,0,0,0,1,0,0,0,Zoom meeting,Financial,Maintain Positive attitude,No,By working on them,Yes,Low
5/31/2021 9:52:35,Computer,55,90,1,0,0,0,0,0,1,0,1,Phone call,So many challenges faced,To improve job opportunities ,hiring freshers ,To learn more things ,Yes,High
5/31/2021 10:29:25,Mechanical,63,95,0,1,0,0,1,0,0,0,2,Google meet,NO,Decentralisation of Industrial activity is necessary to reduce unemployment,"Following are some important suggestions to solve the problem of unemployment in India: (i) Increase in Production : To increase employment, it is essential to increase production in agriculture and industrial sectors. Development of small and cottage industries should be encouraged.","Take action — Start learning a skill. ... 
Breaking down a skill. ... 
Always look for ways to improve. ... ",Yes,High
5/31/2021 10:30:09,Mechanical,50,70,0,1,0,0,0,0,0,1,0,No,Vacancy decreases in company,"Increasing skill in Undergraduate college
",Yes,Hard  work,Yes,Low
5/31/2021 10:32:41,Mechanical,60,85,0,0,1,0,0,0,1,0,1,Zoom meeting,Vacancies were decreased,"Unemployment will be more as there is very easy entrance in engineering. Skills are not taught in college, students are lacking decision making.",Entrance should be tough so that the top candidates won't miss and the college should focus on skill development.,Pandemic helped me to complete skill of machine learning,Yes,High
5/31/2021 10:36:53,Mechanical,70,90,0,0,1,0,0,0,1,0,1,Google meet,Didn't faced any problem expect financial problem,Production technique should suit the needs and means of the country. It is essential that labour intensive technology should be encouraged in place of capital intensive technology.,Production technique should suit the needs and means of the country. It is essential that labour intensive technology should be encouraged in place of capital intensive technology.,Continuous learning,Yes,High
5/31/2021 11:24:28,Computer,60,78,1,0,0,0,0,0,0,1,0,No,Nothing,Yes,Yes,Online courses,Yes,High
5/31/2021 17:41:33,Electrical ,50,50,1,0,0,0,0,1,0,0,2,Zoom meeting,Online Learning is not up to the mark.,Focus on learning and not on marks,Answered above.,By giving mock test..because making mistakes is the only way to improve,Maybe,Low
5/31/2021 18:26:01,Mechanical ,NA,78,0,1,0,0,0,0,1,0,0,No,Many challenges,Very challenging about job,No,Don't know,Yes,Low
5/31/2021 18:55:57,Mechanical ,60,50,0,1,0,0,0,0,0,1,3,Google meet,So bad,its too bad situation,change PM,Practice,No,High
5/31/2021 19:42:13,Civil,0,90,1,0,0,0,0,0,1,0,0,No,No,"The very first solution for the unemployment is to control the rising population of our country. Government should motivate people to have small families. Indian government has started initiatives to control the population but still the population is rising.

2. The quality of Indian education should be improved. The current education system is not upto the level. Government should keep a strict watch on the education system and try to implement new ways to generate skilled labour force. Government should select a committee to look after the schools and universities. The syllabus taught is of no use to the industries so the education should be as per the current requirements of the industries. Before completing the education a practical knowledge should be given.

3. Also today’s youth should join the institute or select the course where proper training is given and the course is as per the current industries requirements. Take the course as per your interest and which will bright your future.","Government should encourage and develop the agriculture based industries in rural areas so that the rural candidates don’t migrate to the urban areas. More employment should be generated in rural areas for the seasonal unemployment people.

Rapid Industrialization should be created.

Development of the rural areas will stop the migration of the rural people to the urban cities and this will not put more pressure on the urban city jobs.","You make sure your talents don’t go to waste.
To keep you mind, body and soul sharp.
To enter a new industry.
To be more respected.
New skills bring more ways to create.
Life is much more fulfilling and interesting.
It’s fun to master many things, and so on.",Yes,Low
5/31/2021 21:00:26,Computer,70,89,1,0,0,0,0,0,0,0,0,Google meet,Insurance,We have to start up,Will work,Online,Yes,High
5/31/2021 23:12:26,Mechanical ,8,,0,0,0,0,0,0,1,0,1,Zoom meeting,Online mood of work and studies been tough for me and also lost of trouble in all living beings necessary action and stuff.,"I can just say that don't limit yourself, always move on to new things. So that continues improvement will happen. Which results in new businesses and entrepreneur of our nation and this automatically generates employment.",So that continues improvement will happen. Which results in new businesses and entrepreneur of our nation and this automatically generates employment,"By Learning, and accepting new trend of technology.",Maybe,Low
06/01/2021 9:11,Civil ,60,50,1,0,0,0,0,0,0,1,0,No,No,Yes,Yes,No,No,Low
06/01/2021 18:27,E&TC,100,30,0,0,1,0,0,0,1,0,2,Zoom meeting,"Lack of opportunity, competition","people with a fixed mindset, the brain is most active when they are being given information about how well they have done, for example, test results or grades."," To increase employment, it is essential to increase production in agriculture and industrial sectors. ",Make sure a lack of talent isn’t your excuse,Yes,High
06/01/2021 21:50,Computer,90,90,0,0,1,0,1,0,0,0,0,Google meet,Not yet,Training,Improve Education level,Training,Maybe,High
06/01/2021 21:51,Electrical ,70,75,0,0,0,1,0,0,0,1,1,Zoom meeting,Lack of jobs,Due to pandemic unemployment is increased,Training,Self,Yes,High
06/01/2021 21:54,E&TC,80,80,0,1,0,0,1,0,0,0,0,No,Lack of jobs,Give training to students,Training,By vocational training,Maybe,High
06/01/2021 23:12,Civil ,10,40,0,0,1,0,0,0,1,0,1,Zoom meeting,"Many, financial, work ","By giving the first chance to fresher, proper training to teach them how to manage hardworking and smart working during the work.
","
By giving apportunity to the fresher, and women's.","By learning from work, and do better than previous work.",Maybe,Low
06/02/2021 14:32,Electrical,20,80,0,0,1,0,0,0,1,0,1,Zoom meeting,"Crisis, salary issues",Increase the hierarchy,Increase the hierarchy,Undergo various trainings,Yes,Low
06/02/2021 14:34,Mechanical ,35,85,1,0,0,0,0,1,0,0,0,Phone call,"Crisis, No opportunities for the expected job role",Increase the hierarchy,"End up contact system, Increase the hierarchy",Trying to find out information,Yes,Low
06/02/2021 14:59,Civil,25,83,0,1,0,0,1,0,0,0,1,Google meet,Economic crisis,Increasing industry numbers,Increasing foreign investments in India,By various trading and field experience,Yes,High
06/02/2021 16:39,Computer ,90,85,0,0,1,0,0,1,0,0,0,No,No jobs,It will be well in few days,Training,Internship,Yes,High
06/02/2021 16:42,Mechanical ,70,90,0,1,0,0,0,0,1,0,1,Zoom meeting,Everything is online,It will get set soon,Change Education system,Training,No,High
06/02/2021 16:47,Civil ,70,90,1,0,0,0,0,0,1,0,1,Google meet,Lack of jobs ,Get Training,Get Training,By Training,No,High
06/02/2021 16:51,Computer ,60,70,1,0,0,0,0,0,0,1,0,Zoom meeting,Lack of connections,Lack of jobs,Students should be trained,By internship,Yes,High
06/02/2021 18:11,Mechanical ,40,75,0,0,1,0,1,0,0,0,1,No,Food and job security,Self thought and self employment,Self employment,Self thought,Maybe,Low
06/02/2021 18:12,Mechanical ,80,70,1,0,0,0,0,0,1,0,2,No,Food ,None,None,Self thought,Maybe,High
06/02/2021 18:20,Mechanical ,57,,0,0,0,1,0,1,0,0,,No,NA,NA,NA,NA,Yes,Low
06/03/2021 16:31,Civil ,18,,1,0,0,0,0,0,0,1,1,No,Financial and mental challenges i have faced during lockdown ,Mainly unemployment is during lack of knowledge and education system which are implemented in india best suggestions on unemployment is to improve education sector ,I heartly suggest to improve or take a look on education sector and what type of education is given and what is required for future or employment,I am improving my soft skillsas well as behaviour and verbal communication as well as as i am learning about software and diff language used in IT sector,Yes,Low
06/04/2021 15:17,Mechanical ,80,90,0,1,0,0,0,1,0,0,2,Google meet,Lack of jobs,By Giving Training,By Giving Training,By practicing,Yes,High
06/04/2021 15:17,Computer ,80,95,1,0,0,0,0,0,0,0,1,Zoom meeting,Lack of jobs,By Giving Training,By Giving Training,Training,Yes,High
06/04/2021 15:17,Electrical ,80,90,0,0,0,1,0,1,0,0,0,Zoom meeting,Lack of jobs,By Giving Training,By Giving Training,Self,No,High
06/04/2021 15:17,E&TC,80,80,0,1,0,0,0,0,0,1,1,Zoom meeting,Lack of jobs,By Giving Training,By Giving Training,Training,Maybe,High
06/04/2021 15:17,E&TC,80,90,0,0,1,0,1,0,0,0,0,Zoom meeting,Lack of jobs,By Giving Training,By Giving Training,Self,No,High
06/04/2021 15:17,Information Technology,80,90,0,0,0,1,1,0,0,0,1,Zoom meeting,Lack of jobs,By Giving Training,By Giving Training,Training,Yes,High
06/04/2021 15:18,Computer ,80,90,1,0,0,0,0,0,0,1,1,No,Lack of jobs,By Giving Training,By Giving Training,Practicing,Yes,Low
06/04/2021 15:18,Computer ,70,90,0,0,0,0,1,0,0,0,3,Google meet,Lack of jobs,By Giving Training,By Giving Training,Training,Maybe,High
06/04/2021 15:18,Information Technology,80,80,0,0,1,0,1,0,0,0,1,No,Lack of jobs,By Giving Training,By Giving Training,Online,Maybe,High
06/04/2021 15:18,Computer ,80,60,0,0,1,0,0,0,0,1,4,Zoom meeting,Lack of jobs,By Giving Training,By Giving Training,Online,Yes,Low
06/04/2021 15:18,Mechanical ,70,85,0,1,0,0,0,0,0,1,1,Google meet,Lack of jobs,By Giving Training,By Giving Training,Internship,Maybe,Low
06/04/2021 15:19,Mechanical ,90,90,0,1,0,0,1,0,0,0,0,Google meet,Lack of jobs,By Giving Training,By Giving Training,Internship,Yes,High
06/04/2021 23:40,Mechanical ,80,48,1,0,0,0,1,0,0,0,2,Zoom meeting,lectures are online so its very hard to focus,Every one needs job no one is even thinking to create jobs ,All are have to change their mindset we have to focus on making employment ,Practice continusly,Yes,High
06/05/2021 0:03,Computer ,90,35,0,0,0,1,0,0,1,0,1,Zoom meeting,Very difficult to stay home for long time ,In India the situation  is very bad ,Do privatization ,keep updated in particular skill ,Maybe,High
06/05/2021 0:09,E&TC,64,20,0,0,1,0,0,0,0,1,3,Zoom meeting,Some times not understand what to do for a particular professional tasks,employment is important,improve education system,Praticing every day,Yes,Low
06/05/2021 2:09,E&TC,90,,1,0,0,0,0,0,1,0,2,Zoom meeting,I have faced the placement process,I want to suggest one thing that is the company will do not have eligibility criteria,No,Na,Maybe,Low
06/05/2021 10:52,Mechanical ,70,90,0,0,1,0,0,0,0,1,0,Zoom meeting,Lack of opportunities,Due to pandemic ,More and more work from home,Training,Yes,Low
06/05/2021 10:52,Computer ,90,90,0,1,0,0,0,1,0,0,1,No,Lack of opportunities,Due to pandemic ,More and more work from home,Internship,Maybe,High
06/05/2021 10:52,Electrical ,80,80,0,1,0,0,0,0,0,1,2,Google meet,Lack of opportunities,More and more work from home,Training,Internship,Yes,Low
06/05/2021 10:52,E&TC,90,70,1,0,0,0,0,0,0,1,2,Phone call,Lack of opportunities,More and more work from home,Internship,Gaining Trained,Maybe,Low
06/05/2021 10:52,Information Technology,80,90,0,0,1,0,1,0,0,0,1,Google Meet,Lack of opportunities,More and more work from home,Training,Self,Yes,High
06/05/2021 10:53,Automobile Engineering,70,80,0,0,1,0,0,0,0,1,0,Google Meet,Lack of jobs,Due to pandemic ,More and more work from home,Online,Maybe,Low
06/05/2021 10:53,Information Technology,70,90,1,0,0,0,0,0,1,0,2,Google Meet,Lack of opportunities,More and more work from home,Training,Self,No,High
06/05/2021 10:53,E&TC,80,80,0,0,1,0,0,0,0,1,0,Zoom meeting,Lack of jobs,Due to pandemic ,More and more work from home,Training,Yes,High
06/05/2021 10:53,Mechanical ,60,80,1,0,0,0,0,1,0,0,1,Zoom meeting,Lack of jobs,Due to pandemic ,More and more work from home,Internship,Maybe,High
06/05/2021 10:53,Computer ,80,80,0,1,0,0,0,0,0,1,0,Zoom meeting,Lack of jobs,Due to pandemic ,More and more work from home,Online,Maybe,High
06/05/2021 13:47,Mechanical ,40,80,0,0,1,0,1,0,0,0,2,Google meet,Lack of Opportunities,Change Education System,Change Education System,By Online Methods,Yes,Low
06/05/2021 13:51,Civil ,70,40,0,1,0,0,0,0,1,0,1,No,Problems during Gain Practically knowledge,Please Change People's negative Mind to Each other,Please Change People's  negative Mind to Each other,Practically,Yes,Low
06/05/2021 15:02,Computer ,70,80,0,0,1,0,1,0,0,0,0,Google meet,Less opportunities,Freshers should be given training,Lack of trained employees,Training,Yes,High
06/05/2021 15:02,Computer ,90,70,0,0,0,1,1,0,0,0,1,Phone call,Lack of jobs,Lack of trained employees,Freshers should be given training,Internship,Yes,High
06/05/2021 15:02,E&TC,80,90,0,0,1,0,0,0,0,1,1,Zoom meeting,No job openings,Freshers should be given training,Lack of trained employees,Online method,Maybe,High
06/05/2021 15:02,E&TC,80,60,1,0,0,0,0,0,0,1,0,Google meet,Less opportunities,Lack of trained employees,Freshers should be given training,Self,No,Low
06/05/2021 15:02,E&TC,90,90,0,0,1,0,0,0,1,0,2,Phone call,Lack of jobs,Freshers should be given training,Lack of trained employees,Training,Yes,High
06/05/2021 15:03,Electrical ,90,70,0,1,0,0,0,1,0,0,1,No,No job openings,Lack of trained employees,Freshers should be given training,Internship,Maybe,High
06/05/2021 15:03,Electrical ,80,70,0,1,0,0,0,0,1,0,0,No,Less opportunities,Freshers should be given training,Lack of trained employees,Self,No,High
06/05/2021 15:03,Electrical ,70,90,0,0,0,1,0,0,0,1,3,No,Lack of jobs,Lack of trained employees,Freshers should be given training,Online,Maybe,Low
06/05/2021 15:03,Computer ,90,70,1,0,0,0,1,0,0,0,1,No,No job openings,Freshers should be given training,Lack of trained employees,Self,No,High
06/05/2021 15:04,Computer ,70,85,0,1,0,0,1,0,0,0,0,No,Less opportunities,Lack of trained employees,Freshers should be given training,Internship,Maybe,High
06/05/2021 15:04,Computer ,100,100,1,0,0,0,0,1,0,0,3,Zoom meeting,Lack of jobs,Freshers should be given training,Lack of trained employees,Internship,Yes,High
06/05/2021 15:04,Computer ,80,70,0,1,0,0,0,0,1,0,4,Zoom meeting,No job openings,Lack of trained employees,Freshers should be given training,Training,Yes,High
